Wall time,Step,Value
1685126669.2187994,555,23.0
1685126669.566187,557,28.0
1685126669.8669267,559,25.0
1685126670.3602455,563,22.0
1685126670.5444171,564,27.0
1685126670.7143602,565,28.0
1685126671.0463018,567,26.0
1685126671.4270296,569,31.0
1685126671.8207707,571,26.0
1685126672.0758061,573,27.0
1685126672.3062224,574,27.0
1685126673.1293538,577,28.0
1685126673.8652303,579,31.0
1685126674.067382,580,30.0
1685126674.2352316,581,27.0
1685126674.447066,582,28.0
1685126674.6408074,583,29.0
1685126674.8120604,584,29.0
1685126675.1674755,586,29.0
1685126675.3727105,587,32.0
1685126676.323791,592,32.0
1685126676.5209405,593,33.0
1685126676.9159212,595,31.0
1685126677.1525621,596,37.0
1685126677.3463373,597,31.0
1685126678.0173056,600,34.0
1685126678.4592605,602,37.0
1685126678.888896,604,36.0
1685126679.2626388,606,33.0
1685126679.6629846,608,32.0
1685126680.1366525,610,34.0
1685126680.7556334,611,98.0
1685126680.8722982,612,17.0
1685126681.19321,615,13.0
1685126681.4671962,619,10.0
1685126681.5277112,620,10.0
1685126681.6632762,622,11.0
1685126681.874308,625,12.0
1685126682.1729598,629,12.0
1685126682.5890028,634,12.0
1685126683.2311506,641,14.0
1685126683.3211765,642,13.0
1685126683.486267,644,14.0
1685126683.5803435,645,15.0
1685126683.6823714,646,15.0
1685126683.7679343,647,14.0
1685126683.857988,648,14.0
1685126683.9470644,649,12.0
1685126684.1230788,651,15.0
1685126684.2121089,652,14.0
1685126684.599162,656,18.0
1685126684.6872966,657,14.0
1685126685.0236287,661,15.0
1685126685.3151658,664,16.0
1685126685.4958198,666,13.0
1685126685.5983517,667,16.0
1685126685.7023945,668,16.0
1685126685.9738555,671,16.0
1685126686.0741172,672,17.0
1685126686.176716,673,17.0
1685126686.2754002,674,16.0
1685126686.3704839,675,14.0
1685126686.5815277,677,16.0
1685126686.6800761,678,17.0
1685126686.76911,679,16.0
1685126686.9391685,681,13.0
1685126687.029717,682,16.0
1685126687.1492877,683,19.0
1685126687.252498,684,17.0
1685126687.3405266,685,15.0
1685126687.460298,686,19.0
1685126687.6659875,688,18.0
1685126687.7890382,689,19.0
1685126688.5507534,696,18.0
1685126688.8724227,699,14.0
1685126688.992025,700,17.0
1685126689.1105673,701,16.0
1685126689.3046973,703,15.0
1685126689.5373452,705,16.0
1685126689.6398861,706,16.0
1685126689.850517,708,15.0
1685126690.0360963,710,14.0
1685126690.379865,714,15.0
1685126690.7746148,718,15.0
1685126690.8813307,719,17.0
1685126691.0864549,721,16.0
1685126691.1900291,722,16.0
1685126691.301778,723,17.0
1685126691.4063528,724,16.0
1685126691.4873536,725,14.0
1685126691.8795724,729,14.0
1685126691.979907,730,16.0
1685126692.6541352,736,15.0
1685126692.8762176,738,18.0
1685126692.9652739,739,15.0
1685126693.0663273,740,16.0
1685126693.1959505,741,19.0
1685126693.4382093,743,15.0
1685126693.712556,746,15.0
1685126693.8011196,747,13.0
1685126694.0852127,750,15.0
1685126694.1897554,751,14.0
1685126694.2953253,752,15.0
1685126694.4858658,754,15.0
1685126694.7078953,756,17.0
1685126695.0742247,759,14.0
1685126695.4812436,762,14.0
1685126695.8058515,765,18.0
1685126695.8851044,766,14.0
1685126695.968615,767,14.0
1685126696.1681755,769,16.0
1685126696.2573707,770,14.0
1685126696.343484,771,14.0
1685126696.51175,773,13.0
1685126696.6088912,774,17.0
1685126696.6709235,775,10.0
1685126697.082431,780,14.0
1685126697.47788,784,13.0
1685126697.5771859,785,18.0
1685126697.7785106,787,17.0
1685126697.943383,789,14.0
1685126698.1447208,791,13.0
1685126698.2494123,792,15.0
1685126698.3336334,793,13.0
1685126698.4323182,794,16.0
1685126698.5317662,795,18.0
1685126698.6252034,796,16.0
1685126698.7623909,798,10.0
1685126698.918033,800,15.0
1685126699.0740888,802,13.0
1685126699.3690102,805,12.0
1685126699.591828,807,17.0
1685126699.7119098,808,20.0
1685126699.78096,809,12.0
1685126700.1426394,813,15.0
1685126700.4673002,815,35.0
1685126700.546328,816,12.0
1685126700.7679253,818,20.0
1685126701.0610218,821,12.0
1685126701.4980562,825,13.0
1685126701.7152698,828,12.0
1685126701.9773188,831,11.0
1685126702.1108558,832,14.0
1685126702.3219323,834,13.0
1685126702.528997,836,12.0
1685126702.682986,838,11.0
1685126703.6610043,843,35.0
1685126704.1509542,845,37.0
1685126704.3914058,846,34.0
1685126704.4761717,847,13.0
1685126704.5631895,848,13.0
