Wall time,Step,Value
1685123260.4488146,237,61.0
1685123260.5756505,238,20.0
1685123260.7434638,239,23.0
1685123260.9940467,240,38.0
1685123261.1481915,241,24.0
1685123261.310453,242,20.0
1685123261.4415073,243,19.0
1685123261.6125715,244,26.0
1685123261.707077,245,14.0
1685123261.8541093,246,22.0
1685123262.0758896,247,29.0
1685123262.2547336,248,22.0
1685123262.5682893,249,47.0
1685123262.8553994,250,42.0
1685123263.123091,251,38.0
1685123263.245146,252,19.0
1685123263.3684597,253,19.0
1685123263.5165834,254,23.0
1685123263.7350411,255,32.0
1685123263.938138,256,30.0
1685123264.1644928,257,28.0
1685123264.3471932,258,24.0
1685123264.5472755,259,29.0
1685123264.7304835,260,27.0
1685123264.9441838,261,26.0
1685123265.2092237,262,33.0
1685123265.3793,263,24.0
1685123265.6184373,264,33.0
1685123265.7425601,265,17.0
1685123265.9453533,266,29.0
1685123266.1076741,267,22.0
1685123266.2657788,268,21.0
1685123266.4410388,269,25.0
1685123266.6583757,270,26.0
1685123266.8088722,271,21.0
1685123267.0380776,272,32.0
1685123267.4286478,273,57.0
1685123267.6534052,274,33.0
1685123267.9459705,275,42.0
1685123268.2243793,276,38.0
1685123268.4991813,277,38.0
1685123268.927711,278,57.0
1685123269.20503,279,42.0
1685123269.4361122,280,36.0
1685123269.8042219,281,55.0
1685123270.0494366,282,35.0
1685123270.2250524,283,25.0
1685123270.5275226,284,44.0
1685123270.7316618,285,30.0
1685123270.9762716,286,33.0
1685123271.4246469,287,62.0
1685123271.7603552,288,49.0
1685123272.0064163,289,31.0
1685123272.296168,290,38.0
1685123272.6069875,291,43.0
1685123272.9230692,292,48.0
1685123273.0891345,293,23.0
1685123273.2752407,294,27.0
1685123273.6050282,295,50.0
1685123273.7931154,296,24.0
1685123274.1922255,297,57.0
1685123274.562584,298,52.0
1685123274.9693046,299,56.0
1685123275.1833916,300,33.0
1685123275.40306,301,32.0
1685123275.7952836,302,46.0
1685123276.0043569,303,25.0
1685123276.260249,304,29.0
1685123276.5502994,305,31.0
1685123276.8746614,306,34.0
1685123277.1494262,307,30.0
1685123277.4059725,308,29.0
1685123277.6090286,309,24.0
1685123278.019317,310,48.0
1685123278.2960474,311,35.0
1685123278.6119826,312,41.0
1685123278.8031015,313,25.0
1685123278.9801564,314,24.0
1685123279.382456,315,53.0
1685123280.0409505,316,81.0
1685123280.2980802,317,28.0
1685123280.5351512,318,25.0
1685123281.113765,319,62.0
1685123281.3069937,320,26.0
1685123281.5721092,321,35.0
1685123281.8347735,322,36.0
1685123282.1543279,323,40.0
1685123282.6951137,324,53.0
1685123282.956161,325,29.0
1685123283.505038,326,38.0
1685123283.9486947,327,46.0
1685123284.450248,328,60.0
1685123284.6523452,329,26.0
1685123285.4809763,330,92.0
1685123285.8660657,331,42.0
1685123286.5103564,332,81.0
1685123286.8854754,333,50.0
1685123287.142016,334,37.0
1685123287.3570817,335,30.0
1685123287.7222962,336,47.0
1685123288.131492,337,46.0
1685123288.6251926,338,62.0
1685123288.917336,339,33.0
1685123289.2060547,340,37.0
1685123289.767045,341,75.0
1685123289.9853442,342,29.0
1685123290.9500227,343,116.0
1685123291.1948066,344,30.0
1685123291.8020148,345,82.0
1685123292.2618492,346,53.0
1685123292.5392275,347,35.0
1685123292.919758,348,49.0
1685123293.2430997,349,37.0
1685123293.484391,350,31.0
1685123293.7461805,351,26.0
1685123294.0712285,352,34.0
1685123294.503434,353,51.0
1685123295.1012864,354,56.0
1685123295.3988967,355,36.0
1685123295.9192362,356,68.0
1685123296.626166,357,87.0
1685123297.0272386,358,50.0
1685123297.7609909,359,92.0
1685123298.0082595,360,33.0
1685123298.379196,361,52.0
1685123298.759939,362,54.0
1685123299.0051486,363,32.0
1685123299.3302484,364,36.0
1685123299.854473,365,71.0
1685123300.2201524,366,39.0
1685123300.4730954,367,35.0
1685123301.2616913,368,103.0
1685123301.877921,369,75.0
1685123302.2970057,370,56.0
1685123302.6844647,371,51.0
1685123303.1341507,372,56.0
1685123303.5171595,373,40.0
1685123303.9721522,374,51.0
1685123304.197367,375,30.0
1685123304.67147,376,64.0
1685123304.9105334,377,27.0
1685123305.6833656,378,98.0
1685123306.152937,379,63.0
1685123306.451402,380,39.0
1685123306.7657878,381,42.0
1685123307.037083,382,39.0
1685123307.274034,383,31.0
1685123307.7503128,384,65.0
1685123308.1929395,385,53.0
1685123308.8249233,386,82.0
1685123309.0750978,387,33.0
1685123309.360207,388,38.0
1685123309.807061,389,55.0
1685123310.2830868,390,57.0
1685123310.7911215,391,54.0
1685123311.2437084,392,58.0
1685123312.0180345,393,96.0
1685123312.4438603,394,58.0
1685123313.0038335,395,68.0
1685123313.3224232,396,42.0
1685123313.8039012,397,60.0
1685123314.1672626,398,47.0
1685123314.366981,399,27.0
1685123315.0925756,400,83.0
1685123316.1202433,401,116.0
1685123316.6181169,402,58.0
1685123317.6072164,403,111.0
1685123317.8342733,404,30.0
1685123318.295806,405,62.0
1685123318.6786668,406,48.0
1685123319.1497457,407,61.0
1685123319.4509609,408,41.0
1685123319.883744,409,58.0
1685123320.2186074,410,46.0
1685123320.4690802,411,33.0
1685123321.0470843,412,71.0
1685123321.8001595,413,83.0
1685123322.7478926,414,123.0
1685123323.362007,415,78.0
1685123323.6358004,416,36.0
1685123323.949732,417,38.0
1685123324.6525624,418,69.0
